,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class;;
2091,Siena Root,Final Stand,27.0,0.442,0.748,2.0,-10.139,1.0,0.0626,0.0429,0.00468,0.0967,0.229,135.422,369221.0,4.0,10.0
2092,RY X,Berlin,66.0,0.397,0.0666,7.0,-20.405,1.0,0.0383,0.963,0.158,0.107,0.0389,137.313,174172.0,4.0,6.0
2095,Metallica,Nothing Else Matters,79.0,0.553,0.362,4.0,-11.218,0.0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,388267.0,3.0,10.0
2096,Taleban Dooda,More Than Average,48.0,0.774,0.645,10.0,-5.531,1.0,0.321,0.197,2.85e-06,0.22,0.415,76.552,183286.0,4.0,5.0
2097,Westy,Karachi,15.0,0.705,0.188,4.0,-13.843,0.0,0.372,0.223,0.744,0.104,0.145,139.815,247040.0,4.0,5.0
2098,Elia Rosilio,עם הזמן,34.0,0.546,0.298,6.0,-10.78,1.0,0.0263,0.523,0.00084,0.116,0.157,96.806,133608.0,4.0,9.0
2099,Pink Floyd,Comfortably Numb,73.0,0.472,0.366,11.0,-12.595,0.0,0.0286,0.15,0.308,0.0837,0.171,127.167,382297.0,4.0,10.0
2101,Dot,User,28.0,0.789,0.372,7.0,-14.553,1.0,0.0484,0.44,0.433,0.107,0.162,107.016,181500.0,4.0,6.0
2102,Sudha Malhotra,Mil Gaye Nain,1.0,0.554,0.367,1.0,-11.983,1.0,0.0382,0.848,0.000177,0.0862,0.945,144.563,2.588666667,4.0,3.0
2105,Kipp Stone,Faygo Baby,41.0,0.725,0.66,9.0,-4.013,1.0,0.152,0.0684,3.62e-06,0.105,0.734,132.949,202194.0,4.0,5.0
2107,Lilla Vargen,Downtown,43.0,0.431,0.334,1.0,-9.88,1.0,0.032,0.651,0.0184,0.147,0.0448,94.483,249429.0,4.0,6.0
2108,Koralle,Keep It Stepping,42.0,0.579,0.668,6.0,-10.288,1.0,0.497,0.345,0.000851,0.212,0.575,78.322,180027.0,1.0,5.0
2109,Beartooth,Hated,62.0,0.458,0.99,8.0,-3.717,1.0,0.183,0.000285,0.000893,0.454,0.46,166.904,211430.0,4.0,10.0
2110,Cactus,Evil - Single Version,43.0,0.25,0.821,7.0,-7.694,1.0,0.075,0.000551,0.00181,0.335,0.81,190.203,195827.0,4.0,10.0
2111,Corrosion Of Conformity,Clean My Wounds,55.0,0.544,0.917,5.0,-6.086,1.0,0.0788,0.0306,5.32e-06,0.064,0.642,140.639,212693.0,4.0,8.0
2112,Monti Fiori,אין דרך חזרה,20.0,0.673,0.577,1.0,-10.076,0.0,0.0359,0.0806,0.00198,0.0811,0.856,94.936,182405.0,4.0,9.0
2113,Pink Floyd,Echoes,57.0,0.285,0.322,6.0,-16.58,0.0,0.044,0.366,0.651,0.107,0.142,134.042,1412451.0,4.0,10.0
2116,Soulfly,Bleed,43.0,0.349,0.974,7.0,-4.724,1.0,0.197,0.00843,0.00595,0.358,0.158,118.409,246733.0,3.0,8.0
2118,Coi Leray,Bout Me,67.0,0.706,0.733,6.0,-5.477,0.0,0.0672,0.255,0.000122,0.103,0.66,141.914,162387.0,4.0,5.0
2120,Buzzcocks,Ever Fallen In Love With Someone (You Shouldn't Have Fallen In Love With),36.0,0.243,0.958,9.0,-3.348,1.0,0.0619,0.000192,8e-06,0.702,0.426,95.252,184853.0,4.0,10.0
2121,Occasionally,Lydia Luce,33.0,0.457,0.291,6.0,-13.43,1.0,0.0325,0.548,0.209,0.175,0.193,77.904,3.242666667,4.0,0.0
2122,Shire T,Blue Kiss,43.0,0.633,0.969,7.0,-6.112,1.0,0.0581,0.0113,0.654,0.123,0.603,138.946,255760.0,4.0,1.0
2123,Nana Adjoa,No Room,49.0,0.561,0.439,9.0,-12.044,1.0,0.0369,0.458,0.0503,0.105,0.307,145.425,209839.0,3.0,6.0
2126,Dalis Car,His Box,33.0,0.815,0.336,4.0,-15.521,0.0,0.0495,0.0738,0.00671,0.0539,0.976,115.808,282667.0,4.0,10.0
2127,Paddy Echo,The View,36.0,0.646,0.697,11.0,-8.726,0.0,0.0542,0.0226,1.17e-06,0.129,0.645,150.023,181608.0,4.0,9.0
2128,Demon Head,The Triumphal Chariot of Antimony,29.0,0.296,0.533,1.0,-6.588,1.0,0.0318,0.0119,0.216,0.0908,0.107,137.991,339053.0,4.0,8.0
2133,Asaf Avidan,Lost Horse,33.0,0.71,0.696,5.0,-5.674,0.0,0.0415,0.0403,0.00395,0.131,0.594,75.496,232247.0,4.0,10.0
2136,Vinay Kaushal,A Tune for Peace - an Interlude,16.0,0.465,0.352,4.0,-11.768,1.0,0.03,0.846,0.864,0.134,0.164,74.895,224455.0,4.0,6.0
2137,U2,Beautiful Day,73.0,0.536,0.928,11.0,-6.492,0.0,0.0589,0.0154,0.00134,0.2,0.389,136.258,248400.0,4.0,10.0
2139,The Omnific,The Stoic,25.0,0.461,0.811,8.0,-7.643,1.0,0.0349,0.129,0.673,0.108,0.214,150.016,244906.0,4.0,8.0
2141,Metallica,The Unforgiven II,64.0,0.497,0.89,8.0,-4.559,0.0,0.0445,0.00055,0.00129,0.255,0.249,133.047,396440.0,4.0,8.0
2142,Torche,Loose Men,22.0,0.279,0.928,9.0,-4.464,1.0,0.061,2.11e-06,0.891,0.217,0.299,159.939,148473.0,4.0,8.0
2143,Melodiesinfonie,Strong Ankles,37.0,0.597,0.404,2.0,-9.832,0.0,0.0358,0.767,0.0589,0.108,0.145,71.551,242667.0,4.0,1.0
2145,Tired Lion,With Or Without,36.0,0.469,0.759,10.0,-5.119,1.0,0.0409,0.000357,0.154,0.145,0.332,130.045,210629.0,4.0,6.0
2147,Erkut Taçkın,Sevmek İstiyorum,49.0,0.769,0.348,9.0,-10.088,0.0,0.207,0.586,0.00865,0.113,0.539,74.883,171333.0,4.0,10.0
2150,Kendell Marvel,Hard Time with the Truth,45.0,0.535,0.612,7.0,-9.219,0.0,0.0333,0.328,0.217,0.125,0.163,92.477,251437.0,4.0,10.0
2151,T.G. Sheppard,Party Time,42.0,0.586,0.535,5.0,-11.517,1.0,0.0274,0.527,0.0162,0.143,0.759,99.799,3.545116667,4.0,4.0
2152,Cynik Scald,Lullaby,39.0,0.483,0.941,6.0,-4.083,0.0,0.109,2.66e-05,9.42e-06,0.175,0.395,109.979,243693.0,4.0,8.0
2154,Twenty One Pilots,Choker,79.0,0.7,0.664,7.0,-8.211,1.0,0.0394,0.306,1.89e-05,0.249,0.585,142.009,223066.0,4.0,9.0
2155,Allman Brothers Band,Melissa,63.0,0.533,0.362,4.0,-14.791,1.0,0.0244,0.478,0.245,0.0857,0.45,82.993,235224.0,4.0,10.0
2156,The Band,Tears Of Rage - Remastered,41.0,0.457,0.523,5.0,-8.144,1.0,0.0355,0.376,0.000141,0.199,0.382,116.047,319951.0,4.0,10.0
2157,Snow Patrol,Same,35.0,0.544,0.459,5.0,-8.821,1.0,0.0264,0.264,0.16,0.179,0.195,129.058,235747.0,3.0,10.0
2158,Los Queltehues,Pescado Frito,16.0,0.575,0.914,2.0,-6.432,1.0,0.0731,0.397,0.000498,0.455,0.854,127.029,260399.0,4.0,2.0
2159,JXN,Solitude,44.0,0.72,0.494,5.0,-7.779,0.0,0.0843,0.125,1.53e-06,0.123,0.357,161.896,178000.0,3.0,10.0
2161,The National,Bloodbuzz Ohio,56.0,0.402,0.835,9.0,-6.367,1.0,0.043,0.0558,0.18,0.103,0.69,157.066,275933.0,4.0,6.0
2163,Britney Spears,Lace and Leather,43.0,0.863,0.586,7.0,-6.512,1.0,0.0617,0.0074,0.000646,0.103,0.823,111.968,2.792666667,4.0,9.0
2164,David Bowie,Sound and Vision - 1999 Remaster,32.0,0.657,0.732,2.0,-10.007,1.0,0.0399,0.00146,0.412,0.146,0.835,106.213,184533.0,4.0,1.0
2165,Juraj Stanik Trio,I Sing This Song for You,49.0,0.413,0.0771,3.0,-22.29,1.0,0.0381,0.956,0.694,0.257,0.099,124.912,4.64445,4.0,7.0
2166,Bandit Bandit,Maux,33.0,0.593,0.854,2.0,-6.023,1.0,0.039,0.0379,0.00394,0.0749,0.295,105.004,194929.0,4.0,10.0
2169,Siouxsie and the Banshees,Spellbound,58.0,0.415,0.853,7.0,-11.098,1.0,0.038,0.0107,0.000499,0.536,0.302,148.494,197013.0,4.0,6.0
2170,Skegss,Save It For The Weekend,45.0,0.424,0.83,9.0,-5.298,1.0,0.028,0.000307,0.000717,0.36,0.544,101.596,181608.0,4.0,10.0
2175,American Hi-Fi,Steppin' Out,30.0,0.433,0.914,9.0,-8.137,1.0,0.041,5.99e-06,0.165,0.0742,0.789,173.985,257184.0,4.0,10.0
2176,Maximo Park,Apply Some Pressure,57.0,0.378,0.953,9.0,-3.632,1.0,0.138,0.000719,2.89e-05,0.0936,0.512,167.808,200347.0,4.0,6.0
2177,Dozer,Big Sky Theory,44.0,0.356,0.849,7.0,-5.59,1.0,0.0399,0.000256,0.077,0.115,0.306,133.166,508307.0,4.0,8.0
2178,Tribute Trio,These Foolish Things,59.0,0.449,0.142,10.0,-18.201,1.0,0.0421,0.945,0.914,0.111,0.131,112.211,4.845166667,4.0,7.0
2179,Dance With the Dead,Invader,50.0,0.528,0.864,11.0,-5.702,0.0,0.0441,0.000332,0.869,0.0702,0.159,126.012,274286.0,4.0,6.0
2180,Rapaz Ego,Grão Mestre,26.0,0.634,0.737,9.0,-5.135,0.0,0.0303,0.267,0.00203,0.252,0.613,99.386,242916.0,4.0,6.0
2181,Outkast,Hey Ya!,80.0,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213.0,4.0,5.0
2182,Aortah,OYA,37.0,0.786,0.722,5.0,-9.029,0.0,0.0616,0.0481,0.00132,0.111,0.566,98.008,178776.0,4.0,9.0
2183,Replikas,Seyyah,16.0,0.534,0.744,2.0,-9.455,1.0,0.0337,0.0572,0.000202,0.166,0.344,100.721,235000.0,4.0,10.0
2184,Anathema,Deep,45.0,0.425,0.643,2.0,-7.626,1.0,0.0316,0.000446,0.0229,0.149,0.165,136.019,293293.0,4.0,8.0
2185,Benjamin Ingrosso,Smile,29.0,0.592,0.749,6.0,-6.165,0.0,0.0295,0.000618,0.00122,0.166,0.799,127.038,192921.0,4.0,9.0
2187,O.C.,Time's Up,49.0,0.664,0.621,2.0,-6.521,1.0,0.0671,0.162,0.0694,0.353,0.489,89.566,205613.0,4.0,5.0
2188,Jungle,Keep Moving,72.0,0.724,0.603,10.0,-6.261,0.0,0.0317,0.183,0.000469,0.0948,0.569,111.493,240880.0,4.0,9.0
2190,Cheap Trick,The Flame,65.0,0.629,0.581,4.0,-11.856,1.0,0.027,0.513,2.06e-06,0.0755,0.359,97.074,5.64666667,4.0,10.0
2191,Melii,You Ain't Worth It (with 6LACK),58.0,0.542,0.561,1.0,-10.013,0.0,0.53,0.126,3.59e-05,0.0931,0.527,73.969,183078.0,4.0,5.0
2192,Sech,911,89.0,0.795,0.655,7.0,-3.815,1.0,0.0422,0.076,1.76e-06,0.296,0.744,93.029,215891.0,4.0,9.0
2193,Molchat Doma,Танцевать,62.0,0.541,0.803,7.0,-4.494,1.0,0.036,0.521,0.839,0.0786,0.814,84.982,202846.0,4.0,6.0
2197,Highline,Chasing Heaven,34.0,0.498,0.817,7.0,-4.165,1.0,0.0451,0.000516,1.98e-06,0.392,0.402,124.093,276667.0,4.0,6.0
2199,Papa Charlie's Boys,You Can't Play Me Cheap,24.0,0.692,0.301,2.0,-14.094,0.0,0.0403,0.938,1.42e-05,0.11,0.713,92.059,172042.0,4.0,2.0
2200,Back Room Jazz Trio,I Should Care,37.0,0.474,0.274,9.0,-16.446,0.0,0.0309,0.98,0.932,0.11,0.326,62.969,4.171816667,4.0,7.0
2201,Asha Bhosle,Chhoti Si Kahani Se,21.0,0.568,0.482,9.0,-11.23,0.0,0.0446,0.0294,3.18e-05,0.545,0.548,111.939,7.233133333,4.0,3.0
2203,Aya Korem,תופעות לוואי,20.0,0.339,0.976,9.0,-2.9,1.0,0.188,0.102,8.53e-06,0.556,0.402,88.473,218304.0,4.0,5.0
2204,Kids Return,Melody,35.0,0.577,0.474,6.0,-8.976,1.0,0.0293,0.518,1.04e-05,0.099,0.582,146.03,193107.0,4.0,6.0
2207,Pink Floyd,Shine On You Crazy Diamond (Pts. 1-5),66.0,0.266,0.294,7.0,-11.938,0.0,0.0291,0.771,0.697,0.107,0.0397,137.941,811077.0,3.0,10.0
2209,Ghost,Year Zero,52.0,0.469,0.705,7.0,-5.134,1.0,0.0458,0.0304,0.0155,0.659,0.137,122.025,350187.0,4.0,8.0
2210,Ozzy Osbourne,Ordinary Man (feat. Elton John),59.0,0.428,0.599,4.0,-2.135,1.0,0.0286,0.0665,9.86e-06,0.137,0.134,125.83,301730.0,4.0,10.0
2211,The Thermals,Here's Your Future,42.0,0.245,0.96,9.0,-3.465,1.0,0.216,0.0514,0.000101,0.0922,0.145,175.968,148867.0,4.0,10.0
2213,Smith/Kotzen,Taking My Chances,44.0,0.469,0.92,11.0,-4.03,1.0,0.0685,0.00302,3.46e-06,0.329,0.379,110.988,286810.0,4.0,10.0
2214,Liturgy,Antigone,23.0,0.169,0.55,6.0,-9.754,0.0,0.0938,0.0115,0.892,0.106,0.0382,124.849,316228.0,3.0,8.0
2217,Depths of Hatred,Fastidious Imitation,27.0,0.433,0.971,1.0,-5.083,0.0,0.111,2.15e-05,0.0256,0.372,0.146,114.922,215441.0,4.0,8.0
2220,Street Sweeper Social Club,Clap For The Killers,34.0,0.648,0.867,4.0,-5.184,1.0,0.142,0.0849,0.00218,0.321,0.874,164.399,235394.0,4.0,10.0
2221,FALL or FLIGHT,Best Part of Me (gALAXYWAVE vARIANT),42.0,0.62,0.849,11.0,-6.582,0.0,0.0394,0.149,7.15e-06,0.109,0.891,149.998,221554.0,4.0,9.0
2223,Advaita,MoFunk,28.0,0.574,0.677,7.0,-8.009,0.0,0.0638,0.476,0.0759,0.0877,0.661,169.899,6.108666667,4.0,0.0
2224,R. Missing,Crimeless,18.0,0.8,0.748,8.0,-10.781,0.0,0.0893,0.00454,0.844,0.576,0.0961,120.028,339079.0,4.0,6.0
2225,Writing The Future,As Above So Below,48.0,0.489,0.962,5.0,-5.497,0.0,0.105,0.000414,4.27e-05,0.252,0.34,160.055,210000.0,4.0,10.0
2226,Kadialy Kouyate,Kanou Foro,31.0,0.564,0.292,5.0,-12.407,1.0,0.0397,0.912,0.875,0.087,0.508,94.918,4.213283333,4.0,7.0
2227,The Normal,Warm Leatherette,34.0,0.482,0.368,2.0,-13.35,1.0,0.307,0.344,1.75e-05,0.0489,0.62,197.807,203907.0,4.0,6.0
2228,Fleetwood Mac,My Heart Beat Like a Hammer,28.0,0.493,0.627,9.0,-9.554,1.0,0.0443,0.73,4.69e-06,0.153,0.829,117.035,212093.0,4.0,2.0
2229,Great White,Call It Rock N' Roll,45.0,0.6,0.716,2.0,-8.693,1.0,0.0347,0.00773,0.000338,0.108,0.741,136.484,236560.0,4.0,8.0
2232,Rise Against,I Don’t Want To Be Here Anymore,59.0,0.236,0.971,6.0,-3.98,0.0,0.0987,0.000759,3.87e-05,0.172,0.403,159.001,239960.0,4.0,10.0
2233,The Cold Stares,Third World War,20.0,0.521,0.887,7.0,-4.474,1.0,0.0375,0.0228,4.04e-05,0.198,0.739,87.047,202908.0,4.0,2.0
2234,Twilight Jazz Trio,Doxy,36.0,0.672,0.395,2.0,-12.655,0.0,0.0328,0.887,0.905,0.139,0.287,104.722,3.3777,4.0,7.0
2235,Fatboy Slim,The Rockafeller Skank,61.0,0.666,0.992,7.0,-6.701,1.0,0.25,0.0111,0.00437,0.22,0.0806,152.589,413880.0,4.0,9.0
2236,Robert Cray,This Man,49.0,0.759,0.852,10.0,-6.535,0.0,0.0448,0.774,0.0267,0.0917,0.889,80.619,306533.0,4.0,2.0
2237,HANNI,Talking To Myself In The Mirror,42.0,0.714,0.594,11.0,-8.379,1.0,0.0404,0.246,0.00388,0.0818,0.395,101.127,173465.0,4.0,9.0
2239,Wallice,Punching Bag,51.0,0.621,0.766,1.0,-1.73,0.0,0.0392,0.433,9.2e-06,0.323,0.612,138.974,153784.0,4.0,6.0
2240,No sé a quién matar,S.O.S.,27.0,0.447,0.733,4.0,-6.186,1.0,0.0283,0.0151,0.876,0.209,0.419,180.036,177772.0,4.0,6.0
2241,Roz Harding,THIS IS MY FUCK YOU SONG,44.0,0.769,0.632,6.0,-4.956,1.0,0.138,0.652,1.35e-06,0.125,0.533,110.058,228000.0,4.0,9.0
2242,Rainmaker,Zenith,9.0,0.338,0.896,11.0,-11.876,0.0,0.0619,0.312,0.853,0.358,0.0918,126.008,220741.0,4.0,6.0
2244,Dexter Gordon,Tenor madness,32.0,0.442,0.677,8.0,-9.76,1.0,0.144,0.513,0.1,0.282,0.649,123.31,762667.0,4.0,2.0
2247,Nas,Nas Is Like,67.0,0.634,0.845,11.0,-5.058,0.0,0.352,0.00602,5.29e-06,0.0598,0.929,94.0,237027.0,4.0,5.0
2248,Emam & Friends,Jai Ganesha (Mix for Chebiji),13.0,0.618,0.746,6.0,-6.917,0.0,0.0322,0.684,0.925,0.0995,0.683,124.031,318107.0,1.0,6.0
2249,Toxik,Heart Attack,31.0,0.19,0.971,9.0,-5.581,1.0,0.224,0.000152,0.845,0.0548,0.115,96.523,228587.0,4.0,8.0
2250,Shalom Hanoch,הדרכים הידועות,35.0,0.447,0.751,8.0,-5.065,0.0,0.0422,0.324,3.51e-05,0.174,0.174,124.151,330413.0,4.0,10.0
2251,Fantastic Negrito,Nothing Without You,32.0,0.674,0.493,8.0,-6.821,1.0,0.0318,0.397,2.96e-06,0.101,0.35,124.941,255785.0,3.0,2.0
2252,Megaherz,Jagdzeit,48.0,0.638,0.912,11.0,-5.229,0.0,0.0682,0.000304,0.00912,0.113,0.725,138.02,258107.0,4.0,8.0
2253,Bakar,Hell N Back,75.0,0.584,0.684,10.0,-4.314,0.0,0.567,0.312,9.05e-05,0.112,0.72,210.164,213573.0,4.0,10.0
2254,Exodus,Blacklist,54.0,0.534,0.969,3.0,-3.378,1.0,0.0535,0.000359,0.564,0.269,0.598,75.005,376920.0,4.0,8.0
2257,The Smashing Pumpkins,Thirty-Three - Remastered 2012,54.0,0.607,0.333,6.0,-12.717,1.0,0.0324,0.000968,0.4,0.151,0.0802,126.619,250293.0,4.0,10.0
2258,3uki,Lose Control feat. Micah Martin (Radio Edit),26.0,0.572,0.896,11.0,-4.282,0.0,0.0333,0.0013,5.13e-05,0.113,0.442,126.022,188095.0,4.0,10.0
2260,Children Of Bodom,Somebody Put Something In My Drink,40.0,0.245,0.922,11.0,-4.154,0.0,0.0738,2.53e-06,0.125,0.108,0.533,177.041,200813.0,4.0,8.0
2262,FKA twigs,cellophane,67.0,0.431,0.284,2.0,-11.858,1.0,0.0432,0.871,0.000136,0.0899,0.229,98.317,204067.0,1.0,6.0
2263,DoFlame,Bat House,39.0,0.251,0.962,1.0,-2.481,1.0,0.114,9.37e-05,0.00969,0.344,0.0769,95.941,162334.0,4.0,6.0
2264,G Flip,Queen,41.0,0.669,0.627,5.0,-5.415,0.0,0.0622,0.216,3.26e-05,0.158,0.643,180.043,196302.0,4.0,9.0
2266,Chet Faker,Low,64.0,0.651,0.533,1.0,-8.726,1.0,0.0592,0.131,0.181,0.158,0.573,79.538,274424.0,4.0,1.0
2267,Hinds,Riding Solo,37.0,0.399,0.91,2.0,-5.285,1.0,0.0482,0.000125,0.204,0.196,0.537,175.978,216987.0,4.0,10.0
2268,The Black Crowes,Seeing Things,48.0,0.618,0.441,2.0,-6.074,1.0,0.0266,0.0553,9.06e-06,0.113,0.0894,116.2,318200.0,3.0,10.0
2273,Don Rimini,Let Me Back Up - Crookers Tetsujin Remix,26.0,0.764,0.961,2.0,-3.658,1.0,0.0559,0.172,0.0524,0.0473,0.432,126.008,351095.0,4.0,6.0
2275,Crown Lands,Right Way Back,31.0,0.321,0.803,5.0,-4.752,1.0,0.0398,0.00168,0.0125,0.0896,0.418,179.869,231180.0,4.0,10.0
2276,Whitesnake,Here I Go Again - 2018 Remaster,70.0,0.292,0.823,7.0,-6.763,1.0,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,275395.0,4.0,10.0
2277,Greta Van Fleet,Highway Tune,70.0,0.582,0.962,4.0,-3.037,1.0,0.0542,0.0096,0.128,0.283,0.506,123.971,180640.0,4.0,10.0
2282,Primal Scream,Loaded - Edit,26.0,0.67,0.716,8.0,-8.097,1.0,0.0656,0.000318,0.477,0.107,0.777,91.136,273240.0,4.0,1.0
2283,Phosphorescent,New Birth in New England,51.0,0.56,0.959,6.0,-5.493,1.0,0.0652,0.245,0.652,0.531,0.618,103.006,299685.0,4.0,10.0
2285,DJ Flex,Why (Afrobeat),39.0,0.748,0.715,1.0,-4.987,0.0,0.0605,0.108,0.00597,0.1,0.688,102.991,159066.0,4.0,9.0
2286,Madeline Kenney,Sucker,44.0,0.511,0.674,9.0,-9.536,1.0,0.0274,0.117,0.0105,0.129,0.663,173.949,283371.0,4.0,1.0
2287,Matt Schofield,Black Cat Bone,21.0,0.529,0.555,10.0,-10.687,1.0,0.0566,0.0265,0.0282,0.676,0.632,109.579,590720.0,4.0,2.0
2288,Combichrist,One Fire,36.0,0.551,0.714,11.0,-5.691,0.0,0.0383,0.00911,5.3e-05,0.353,0.0517,84.959,240517.0,4.0,8.0
2289,Arcade Fire,Rebellion (Lies),65.0,0.401,0.933,8.0,-5.682,1.0,0.0344,0.00744,0.627,0.318,0.734,127.193,310893.0,4.0,1.0
2290,Fangclub,All Fall Down - Acoustic,33.0,0.499,0.627,4.0,-8.04,0.0,0.0309,0.0243,1.74e-05,0.0799,0.241,119.889,238910.0,4.0,10.0
2291,Magic Sam,All Your Love,49.0,0.433,0.7,11.0,-8.197,1.0,0.163,0.843,0.324,0.102,0.8,80.623,176186.0,4.0,2.0
2293,Nirvana,In Bloom,65.0,0.436,0.876,10.0,-4.902,0.0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,255080.0,4.0,6.0
2295,The Easybeats,Friday On My Mind,59.0,0.374,0.991,9.0,-1.101,1.0,0.0813,0.38,0.000719,0.0929,0.51,95.105,163293.0,4.0,6.0
2296,St. Vincent,Los Ageless,58.0,0.527,0.716,5.0,-6.029,0.0,0.0616,0.0698,8.71e-05,0.0737,0.331,99.426,281347.0,4.0,10.0
2298,Jimbo Mathus,Sweet Oblivion,47.0,0.644,0.432,7.0,-5.722,1.0,0.0323,0.758,0.00139,0.109,0.472,93.966,192600.0,4.0,1.0
2300,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),72.0,0.558,0.924,9.0,-4.341,0.0,0.064,0.0271,3.32e-06,0.537,0.567,151.99,186827.0,4.0,10.0
2301,Assaf Amdursky,את ואני נוסעים לאט,39.0,0.537,0.371,2.0,-12.68,1.0,0.0289,0.634,0.206,0.0928,0.299,143.839,252770.0,4.0,9.0
2302,Orgy,Karma Kastles,43.0,0.503,0.906,8.0,-4.627,1.0,0.0538,0.000553,0.000128,0.127,0.723,151.001,243249.0,4.0,10.0
2306,SASAMI,Not The Time,33.0,0.42,0.79,6.0,-7.824,0.0,0.06,0.00384,0.41,0.0943,0.507,137.968,170760.0,4.0,10.0
2307,YONAKA,Seize the Power,63.0,0.633,0.788,5.0,-4.075,0.0,0.127,0.0111,1.6e-06,0.0582,0.412,134.13,161617.0,4.0,9.0
2308,Trevor Hall,Put Down What You Are Carrying (with Brett Dennen),60.0,0.644,0.467,7.0,-9.398,1.0,0.0385,0.502,1.6e-05,0.231,0.69,79.022,268007.0,4.0,10.0
2309,Jinjer,Pisces,55.0,0.6,0.849,9.0,-5.788,0.0,0.0376,0.0174,0.00205,0.0745,0.257,140.002,305571.0,1.0,8.0
2310,Piers Faccini,Bring Down The Wall,28.0,0.454,0.387,2.0,-10.159,0.0,0.0417,0.406,0.00099,0.0783,0.686,97.995,205533.0,4.0,2.0
2311,Dudu Tassa,בסוף מתרגלים להכל,42.0,0.507,0.883,11.0,-4.465,0.0,0.0411,0.0179,5.25e-05,0.265,0.689,90.025,241640.0,4.0,10.0
2313,Cautious Clay,Dying in the Subtlety,57.0,0.721,0.559,9.0,-8.152,1.0,0.0309,0.00256,5.08e-05,0.223,0.397,91.015,139301.0,4.0,6.0
2314,Alcest,Sapphire,48.0,0.402,0.76,8.0,-8.138,0.0,0.0386,1.05e-05,0.85,0.0791,0.199,74.999,300503.0,4.0,6.0
2315,EPMD,Strictly Business,48.0,0.712,0.895,10.0,-4.212,0.0,0.254,0.181,1.8e-05,0.108,0.727,96.338,285413.0,4.0,5.0
2317,PRONOUN,I WANNA DIE BUT I CAN’T (CUZ I GOTTA KEEP LIVING),47.0,0.505,0.928,5.0,-5.457,0.0,0.0319,0.000193,0.134,0.205,0.513,138.023,170080.0,4.0,9.0
2320,Citizen Cope,Bullet and a Target,56.0,0.732,0.835,5.0,-3.279,0.0,0.0819,0.335,2.43e-06,0.0354,0.892,80.696,263400.0,4.0,10.0
2321,Louis Myers,Bluesy,4.0,0.605,0.601,11.0,-14.501,0.0,0.0838,0.959,0.94,0.527,0.88,138.213,167146.0,4.0,2.0
2323,Intervals,5-HTP,45.0,0.498,0.939,3.0,-6.022,1.0,0.119,4.68e-05,0.93,0.243,0.348,157.979,181280.0,4.0,8.0
2324,Paradise Lost,Ghosts,44.0,0.506,0.637,2.0,-10.392,1.0,0.0422,8.18e-06,0.909,0.0876,0.317,136.993,275733.0,4.0,8.0
2325,Blur,Song 2 - 2012 Remaster,76.0,0.674,0.789,8.0,-6.903,1.0,0.0676,0.00178,0.0071,0.0754,0.918,129.804,121160.0,4.0,10.0
2326,Jason Isbell and the 400 Unit,If We Were Vampires,66.0,0.629,0.208,5.0,-16.225,1.0,0.0324,0.824,3.7e-06,0.107,0.685,96.609,215564.0,4.0,9.0
2328,Tulkas,The Shortest Straw - Metallica Cover,30.0,0.344,0.891,2.0,-5.937,1.0,0.062,0.000107,0.042,0.0763,0.692,147.382,378070.0,4.0,8.0
2329,Liza Anne,Desire,26.0,0.66,0.578,7.0,-5.27,1.0,0.0301,0.0248,0.00204,0.119,0.587,110.976,179884.0,4.0,6.0
2331,The B-52's,Rock Lobster,38.0,0.556,0.849,8.0,-8.967,1.0,0.0443,0.00107,0.00582,0.154,0.456,91.19,409440.0,4.0,1.0
2332,Raviv Kaner,רוצה שלום,58.0,0.727,0.431,2.0,-10.007,0.0,0.0937,0.173,2.84e-05,0.0813,0.157,94.95,208681.0,4.0,9.0
2334,Boris,Farewell,43.0,0.208,0.498,8.0,-3.294,1.0,0.0533,0.000402,0.827,0.357,0.0382,124.635,453440.0,4.0,6.0
2335,Merle Haggard,I Think I'll Just Stay Here And Drink,46.0,0.609,0.681,9.0,-11.491,1.0,0.0394,0.0999,0.0495,0.0422,0.895,172.609,4.527783333,4.0,4.0
2336,Alison Mosshart,Rise,35.0,0.469,0.653,10.0,-7.101,0.0,0.0512,0.00131,1e-05,0.304,0.107,145.084,251293.0,4.0,10.0
